CRICOS Provider Code,Trading Name,Institution Name,Institution Type,Institution Capacity,Website,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Line 4,Postal Address City,Postal Address State,Postal Address Postcode
00380E,Ascham School,Ascham School Ltd,Private,20,www.ascham.nsw.edu.au,188 New South Head Road,,,,EDGECLIFF,NSW,2027
00382C,Georges River Grammar,Georges River Grammar School Ltd,Private,40,https://grg.nsw.edu.au/,PO Box 278,,,,GEORGES HALL,NSW,2198
00399E,Knox Grammar School,Knox Grammar School,Private,100,www.knox.nsw.edu.au,PO Box 5008,,,,WAHROONGA,NSW,2076
00401E,Masada College,Masada College,Private,70,www.masada.nsw.edu.au,PO Box 235,,,,ST IVES,NSW,2075
00415K,Redeemer Baptist School,Redeemer Baptist School Ltd,Private,60,www.redeemer.nsw.edu.au,2 Masons Drive,,,,NORTH PARRAMATTA,NSW,2151
00428E,Aquinas College,Edmund Rice Education Australia Colleges Ltd,Private,20,www.aquinas.wa.edu.au,Locked Bag 11,Bentley Delivery Centre,,,BENTLEY,WA,6983
00431K,Bunbury Cathedral Grammar School,Bunbury Cathedral Grammar School Inc,Private,20,www.bcgs.wa.edu.au,PO Box 1198,,,,BUNBURY,WA,6231
00433G,Christ Church Grammar School,Christ Church Grammar School Inc,Private,50,www.ccgs.wa.edu.au,PO Box 399,,,,CLAREMONT,WA,6910
00437D,Guildford Grammar School,Guildford Grammar School Inc,Private,30,www.ggs.wa.edu.au,Locked Bag 5,,,,GUILDFORD,WA,6935
00438C,Hale School,The Governors of Hale School,Private,47,www.hale.wa.edu.au,160 Hale Road,,,,WEMBLEY DOWNS,WA,6019
00441G,Methodist Ladies' College,Methodist Ladies' College,Private,60,www.mlc.wa.edu.au,PO Box 222,,,,CLAREMONT,WA,6010
00444E,Penrhos College,Penrhos College,Private,30,www.penrhos.wa.edu.au,Locked Bag 690,,,,COMO,WA,6952
00445D,Perth College,Perth College Inc,Private,50,www.pc.wa.edu.au,Po Box 25,,,,MOUNT LAWLEY,WA,6929
00447B,Presbyterian Ladies' College,Presbyterian Ladies College Incorporated,Private,70,www.plc.wa.edu.au,PO Box 126,,,,COTTESLOE,WA,6911
00449M,Scotch College,Scotch College,Private,50,www.scotch.wa.edu.au,PO Box 223,,,,CLAREMONT,WA,6910
00451F,St Brigid's College; St Brigid's College - A Ministry of Mercy Education,Mercy Education Limited,Private,60,www.stbrigids.wa.edu.au,200 Lesmurdie Road,,,,LESMURDIE,WA,6076
00452E,St Hilda's Anglican School for Girls,St Hilda's Anglican School for Girls Inc.,Private,70,www.sthildas.wa.edu.au,PO Box 34,,,,MOSMAN PARK,WA,6912
00454C,St Marys Anglican Girls' School,St Mary's Anglican Girls' School Inc,Private,20,www.stmarys.wa.edu.au,PO Box 105,,,,KARRINYUP,WA,6921
00460E,Wesley College,Wesley College,Private,85,www.wesley.wa.edu.au,PO Box 8360,,,Angelo Street,SOUTH PERTH,WA,6151
00463B,Canning College,Canning College,Government,800,www.canningcollege.wa.edu.au,P.O Box 1148,,,,BENTLEY,WA,6983
00466K,,St John's Catholic College,Private,90,,Locked Mail Bag 13,,,,DARWIN,NT,0801
00477G,The Friends' School,The Friends' School Incorporated,Private,50,www.friends.tas.edu.au,PO Box 42,,,,NORTH HOBART,TAS,7002
00478F,The Hutchins School,HUTCHINS SCHOOL BOARD OF MANAGEMENT,Private,90,www.hutchins.tas.edu.au,PO Box 254,,,,SANDY BAY,TAS,7006
00480A,Scotch Oakburn College,SCOTCH OAKBURN COLLEGE,Private,30,www.soc.tas.edu.au,Locked Bag 103,,,,KINGS MEADOWS,TAS,7249
00482K,St Michael's Collegiate School,ST MICHAEL'S COLLEGIATE SCHOOL,Private,40,www.collegiate.tas.edu.au,PO Box 215,,,,SANDY BAY,TAS,7006
00487E,Anglican Church Grammar School,The Corporation of the Synod of the Diocese of Brisbane,Private,40,,Oaklands Parade,,,,EAST BRISBANE,QLD,4169
00488D,Blackheath and Thornburgh College,Blackheath and Thornburgh College,Private,30,www.btc.qld.edu.au,PO Box 339,,,,CHARTERS TOWERS,QLD,4820
00489C,Brisbane Grammar School,Board of Trustees of the Brisbane Grammar School,Private,40,www.brisbanegrammar.com,Gregory Terrace,,,,BRISBANE,QLD,4000
00491J,Brisbane Boys' College,The Presbyterian and Methodist Schools Association,Private,125,,Kensington Terrace,,,,TOOWONG,QLD,4066
00493G,Clayfield College,The Presbyterian and Methodist Schools Association,Private,250,,PO Box 387,,,,CLAYFIELD,QLD,4011
00494F,Downlands College,Downlands College Ltd,Private,30,,PO Box 250,,,,TOOWOOMBA,QLD,4350
